Variable,Suggested Short Name,Time Step 1,Time Step 2,Time Step 3,Mod Time Step 1 (321) Rules,Time Step 2 (322) Rules,Time Step 3 (323) Rules,FB_0029_FCCS,321,322,323,FB_0046_FCCS,321,322,323,FB_0066_FCCS,321,322,323,FB_0087_FCCS,321,322,323,FB_0109_FCCS,321,322,323,FB_0291_FCCS,321,322,323
eCANOPY_TREES_TOTAL_PERCENT_COVER,Canopy_TotalCover,* = 0.67,,,0.67,,,40,26.8,26.8,26.8,,0,0,0,,0,0,0,80,53.6,53.6,53.6,85,56.95,56.95,56.95,60,40.2,40.2,40.2
eCANOPY_TREES_OVERSTORY_DIAMETER_AT_BREAST_HEIGHT,OTree_Diameter,* = 1.25,,,1.25,,,9.6,12,12,12,,0,0,0,,0,0,0,2.9,3.625,3.625,3.625,14,17.5,17.5,17.5,12,15,15,15
eCANOPY_TREES_OVERSTORY_HEIGHT_TO_LIVE_CROWN,OTree_HeightLiveCrown,* = 1.5,,,1.5,,,20,30,30,30,,0,0,0,,0,0,0,4,6,6,6,20,30,30,30,55,82.5,82.5,82.5
eCANOPY_TREES_OVERSTORY_HEIGHT,OTree_Height,,,,,,,100,100,100,100,,0,0,0,,0,0,0,25,25,25,25,60,60,60,60,78,78,78,78
eCANOPY_TREES_OVERSTORY_PERCENT_COVER,OTree_Cover,* = 0.5,,,0.5,,,40,20,20,20,,0,0,0,,0,0,0,80,40,40,40,50,25,25,25,50,25,25,25
eCANOPY_TREES_OVERSTORY_STEM_DENSITY,OTree_Density,* = 0.5,,,0.5,,,12,6,6,6,,0,0,0,,0,0,0,3500,1750,1750,1750,45,22.5,22.5,22.5,100,50,50,50
eCANOPY_TREES_MIDSTORY_DIAMETER_AT_BREAST_HEIGHT,MTree_Diameter,* = 1.25,,,1.25,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,7.5,9.375,9.375,9.375,,0,0,0
eCANOPY_TREES_MIDSTORY_HEIGHT_TO_LIVE_CROWN,MTree_HeightLiveCrown,* = 1.5,,,1.5,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,10,15,15,15,,0,0,0
eCANOPY_TREES_MIDSTORY_HEIGHT,MTree_Height,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,44,44,44,44,,0,0,0
eCANOPY_TREES_MIDSTORY_PERCENT_COVER,MTree_Cover,* = 0.5,,,0.5,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,50,25,25,25,,0,0,0
eCANOPY_TREES_MIDSTORY_STEM_DENSITY,MTree_Density,* = 0.5,,,0.5,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,150,75,75,75,,0,0,0
eCANOPY_TREES_UNDERSTORY_DIAMETER_AT_BREAST_HEIGHT,UTree_Diameter,,,,0,,,,0,0,0,,0,0,0,,0,0,0,0.5,0.5,0.5,0.5,1.7,1.7,1.7,1.7,1,1,1,1
eCANOPY_TREES_UNDERSTORY_HEIGHT_TO_LIVE_CROWN,UTree_HeightLiveCrown,,,,0,,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
eCANOPY_TREES_UNDERSTORY_HEIGHT,UTree_Height,,,,0,,,,0,0,0,,0,0,0,,0,0,0,1.5,1.5,1.5,1.5,10,10,10,10,5,5,5,5
eCANOPY_TREES_UNDERSTORY_PERCENT_COVER,UTree_Cover,,,,0,,,,0,0,0,,0,0,0,,0,0,0,3,3,3,3,30,30,30,30,5,5,5,5
eCANOPY_TREES_UNDERSTORY_STEM_DENSITY,UTree_Density, * = 0 (MAKE EMPTY),,,0,,,,0,0,0,,0,0,0,,0,0,0,1000,0,0,0,1000,0,0,0,25,0,0,0
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_DIAMETER,C1Snag_Diameter,,,,,,,,0,0,0,,0,0,0,,0,0,0,3.5,3.5,3.5,0,13,13,13,9,,0,0,0
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_HEIGHT,C1Snag_Height,,,,,,,,0,0,0,,0,0,0,,0,0,0,25,25,25,0,55,55,55,50,,0,0,0
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_STEM_DENSITY,C1Snag_Density,,,,,,,,0,0,0,,0,0,0,,0,0,0,100,100,100,0,5,5,5,0.5071,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT_TO_CROWN_BASE,C1FSnag_HeightCrownBase,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,33.35,33.35,33.35,5,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_DIAMETER,C1FSnag_Diameter,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,3.5,9,9,9,11,,0,0,12
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT,C1FSnag_Height,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,20,50,50,50,50,,0,0,70
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_PERCENT_COVER,C1FSnag_Cover,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,150,0.5071,0.5071,0.5071,10,,0,0,3
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_STEM_DENSITY,C1FSnag_Density,,,,,,,,0,0,9,,0,0,0,,0,0,0,,0,0,3.5,5,5,5,11,,0,0,10
eCANOPY_SNAGS_CLASS_2_DIAMETER,C2Snag_Diameter,,,,,,,,0,0,60,,0,0,0,,0,0,0,3.5,3.5,3.5,15,11,11,11,40,12,12,12,60
eCANOPY_SNAGS_CLASS_2_HEIGHT,C2Snag_Height,,,,,,,,0,0,3,,0,0,0,,0,0,0,20,20,20,150,50,50,50,5,70,70,70,3
eCANOPY_SNAGS_CLASS_2_STEM_DENSITY,C2Snag_Density,,,,,,,,0,0,0,,0,0,0,,0,0,0,150,150,150,4,10,10,10,15,3,3,3,0
eCANOPY_SNAGS_CLASS_3_DIAMETER,C3Snag_Diameter,,,,,,,9,9,9,0,,0,0,0,,0,0,0,3.5,3.5,3.5,0,11,11,11,5,10,10,10,0
eCANOPY_SNAGS_CLASS_3_HEIGHT,C3Snag_Height,,,,,,,60,60,60,2.2,,0,0,5,,0,0,3,15,15,15,5,40,40,40,6,60,60,60,5
eCANOPY_SNAGS_CLASS_3_STEM_DENSITY,C3Snag_Density,,,,,,,3,3,3,16.2,,0,0,52.5,,0,0,1.5,150,150,150,7.5,5,5,5,22.5,3,3,3,60
eCANOPY_LADDER_FUELS_MAXIMUM_HEIGHT,Ladder_MaxHeight,,,,,,,,0,0,85,,0,0,85,,0,0,100,4,4,4,90,15,15,15,85,,0,0,90
eCANOPY_LADDER_FUELS_MINIMUM_HEIGHT,Ladder_MinHeight,,,,,,,,0,0,0.3,,0,0,2,,0,0,0,0,0,0,1,5,5,5,0,,0,0,0
eSHRUBS_PRIMARY_LAYER_HEIGHT,1Shrub_Height,,,,,,,2.2,2.2,2.2,2.2,5,5,5,5,3,3,3,3,5,5,5,5,6,6,6,6,5,5,5,5
eSHRUBS_PRIMARY_LAYER_PERCENT_COVER,1Shrub_Cover,* = 0.5,* = 1.5,* = (1/0.5*1.5),0.5,1.5,1.333333333,21.6,10.8,16.2,21.6,70,35,52.5,70,2,1,1.5,2,10,5,7.5,10,30,15,22.5,30,80,40,60,80
eSHRUBS_PRIMARY_LAYER_PERCENT_LIVE,1Shrub_Live,* = 0.25,* = 1/0.25,,0.25,4,,85,21.25,85,85,85,21.25,85,85,100,25,100,100,90,22.5,90,90,85,21.25,85,85,90,22.5,90,90
eSHRUBS_SECONDARY_LAYER_HEIGHT,2Shrub_Height,,,,,,,0.3,0.3,0.3,0.3,2,2,2,2,,0,0,0,1,1,1,1,,0,0,0,,0,0,0
eSHRUBS_SECONDARY_LAYER_PERCENT_COVER,2Shrub_Cover,* = 0.5,* = 1.5,* = (1/0.5*1.5),0.5,1.5,1.333333333,1.2,0.6,0.9,1.2,5,2.5,3.75,5,,0,0,0,20,10,15,20,,0,0,0,,0,0,0
eSHRUBS_SECONDARY_LAYER_PERCENT_LIVE,2Shrub_Live,* = 0.25,* = 1/0.25,,0.25,4,,95,23.75,95,95,85,21.25,85,85,,0,0,0,90,22.5,90,90,,0,0,0,,0,0,0
eHERBACEOUS_PRIMARY_LAYER_HEIGHT,1Herb_Height,,,,,,,0.9,0.9,0.9,0.9,,0,0,0,2,2,2,2,1,1,1,1,2.5,2.5,2.5,2.5,2,2,2,2
eHERBACEOUS_PRIMARY_LAYER_LOADING,1Herb_Load,* = 0.5,* = 1.5,* = 1/(0.5*1.5),0.5,1.5,1.333333333,0.1,0.05,0.075,0.1,,0,0,0,1,0.5,0.75,1,0.01,0.005,0.0075,0.01,0.4,0.2,0.3,0.4,0.1,0.05,0.075,0.1
eHERBACEOUS_PRIMARY_LAYER_PERCENT_COVER,1Herb_Cover,* = 0.5,* = 1.5,* = 1/(0.5*1.5),0.5,1.5,1.333333333,0.7,0.35,0.525,0.7,,0,0,0,90,45,67.5,90,2,1,1.5,2,30,15,22.5,30,20,10,15,20
eHERBACEOUS_PRIMARY_LAYER_PERCENT_LIVE,1Herb_Live,* = 0.5,* = 1/0.5,,0.5,2,,95,47.5,95,95,,0,0,0,85,42.5,85,85,90,45,90,90,80,40,80,80,60,30,60,60
eHERBACEOUS_SECONDARY_LAYER_HEIGHT,2Herb_Height,,,,,,,0.9,0.9,0.9,0.9,,0,0,0,1,1,1,1,0.5,0.5,0.5,0.5,,0,0,0,1,1,1,1
eHERBACEOUS_SECONDARY_LAYER_LOADING,2Herb_Load,* = 0.5,* = 1.5,* = 1/(0.5*1.5),0.5,1.5,1.333333333,0.1,0.05,0.075,0.1,,0,0,0,0.01,0.005,0.0075,0.01,0.02,0.01,0.015,0.02,,0,0,0,0.1,0.05,0.075,0.1
eHERBACEOUS_SECONDARY_LAYER_PERCENT_COVER,2Herb_Cover,* = 0.5,* = 1.5,* = 1/(0.5*1.5),0.5,1.5,1.333333333,0.2,0.1,0.15,0.2,,0,0,0,8,4,6,8,5,2.5,3.75,5,,0,0,0,20,10,15,20
eHERBACEOUS_SECONDARY_LAYER_PERCENT_LIVE,2Herb_Live,* = 0.5,* = 1/0.5,,0.5,2,,85,42.5,85,85,,0,0,0,70,35,70,0,90,45,90,0,,0,0,0,60,30,60,0
eWOODY_FUEL_ALL_DOWNED_WOODY_FUEL_DEPTH,FineWood_Depth,* = 0.5,,* = (1/0.5),0.5,,2,4,2,2,4,1,0.5,0.5,1,,0,0,0,0.5,0.25,0.25,0.5,1,0.5,0.5,1,0.5,0.25,0.25,0.5
eWOODY_FUEL_ALL_DOWNED_WOODY_FUEL_TOTAL_PERCENT_COVER,FineWood_Cover,* = 0.5,,* = (1/0.5),0.5,,2,70,35,35,70,50,25,25,50,,0,0,0,30,15,15,30,40,20,20,40,15,7.5,7.5,15
eWOODY_FUEL_SOUND_WOOD_LOADINGS_ZERO_TO_THREE_INCHES_ONE_TO_THREE_INCHES,SWood_100hr,* = 0.5,,* = (1/0.5),0.5,,2,2,1,1,2,1,0.5,0.5,1,,0,0,0,0.5,0.25,0.25,0.5,1,0.5,0.5,1,0.3,0.15,0.15,0.3
eWOODY_FUEL_SOUND_WOOD_LOADINGS_ZERO_TO_THREE_INCHES_QUARTER_INCH_TO_ONE_INCH,SWood_10hr,* = 0.5,,* = (1/0.5),0.5,,2,1.5,0.75,0.75,1.5,1,0.5,0.5,1,,0,0,0,0.2,0.1,0.1,0.2,0.5,0.25,0.25,0.5,0.4,0.2,0.2,0.4
eWOODY_FUEL_SOUND_WOOD_LOADINGS_ZERO_TO_THREE_INCHES_ZERO_TO_QUARTER_INCH,SWood_1hr,* = 0.5,,* = (1/0.5),0.5,,2,1,0.5,0.5,1,0.5,0.25,0.25,0.5,,0,0,0,0.1,0.05,0.05,0.1,0.3,0.15,0.15,0.3,0.02,0.01,0.01,0.02
eWOODY_FUEL_SOUND_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_THREE_TO_NINE_INCHES,SWood_1000hr,* = 0.8, * = 0.75,* = 0.5,0.8,0.75,0.5,6,4.8,3.6,1.8,0,0,0,0,,0,0,0,1,0.8,0.6,0.3,1.2,0.96,0.72,0.36,0.5,0.4,0.3,0.15
eWOODY_FUEL_SOUND_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_NINE_TO_TWENTY_INCHES,SWood_10_000hr,* = 0.8, * = 0.75,* = 0.5,0.8,0.75,0.5,12,9.6,7.2,3.6,0,0,0,0,,0,0,0,0,0,0,0,0.5,0.4,0.3,0.15,0,0,0,0
eWOODY_FUEL_SOUND_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_GREATER_THAN_TWENTY_INCHES,SWood_GT10_000hr,* = 0.8, * = 0.75,* = 0.5,0.8,0.75,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.5,0.4,0.3,0.15,0,0,0,0
eWOODY_FUEL_ROTTEN_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_THREE_TO_NINE_INCHES,RWood_1000hr,* = 0.8, + = SWood_1000hr * 0.25, + = SWood_1000hr * 0.5,0.8, + = SWood_1000hr * 0.25, + = SWood_1000hr * 0.5,5,4,20.4,22.2,,0,0,0,,0,0,0,0.5,0.4,0.52,0.82,0.75,0.6,0.816,1.176,,0,0.1,0.25
eWOODY_FUEL_ROTTEN_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_NINE_TO_TWENTY_INCHES,RWood_10_000hr,* = 0.8, + = SWood_10_000hr * 0.25, + = SWood_10_000hr * 0.5,0.8, + = SWood_10_000hr * 0.25, + = SWood_10_000hr * 0.5,11,8.8,86.88,90.48,,0,0,0,,0,0,0,0,0,0,0,0.3,0.24,0.196,0.346,,0,0,0
eWOODY_FUEL_ROTTEN_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_GREATER_THAN_TWENTY_INCHES,RWood_GT10_000hr,* = 0.8, + = SWood_GT10_000hr * 0.25, + = SWood_GT10_000hr * 0.5,0.8, + = SWood_GT10_000hr * 0.25, + = SWood_GT10_000hr * 0.5,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.1,0.25,,0,0,0
eWOODY_FUEL_STUMPS_SOUND_DIAMETER,SStump_Diameter,,,,,,0,9.6,9.6,9.6,0,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,,0,0,0,,0,0,0
eWOODY_FUEL_STUMPS_SOUND_HEIGHT,SStump_Height,,,,,,0,0.4,0.4,0.4,0,,0,0,0,,0,0,0,2,2,2,2,,0,0,0,,0,0,0
eWOODY_FUEL_STUMPS_SOUND_STEM_DENSITY,SStump_Density, + = 0.5*OTree_Density + 0.5*MTree_Density,,MAKE EMPTY,Add 0.5Over Mid Density,,0,115,121,121,0,,0,0,0,,0,0,0,50,1800,1800,0,,97.5,97.5,0,,50,50,0
eWOODY_FUEL_STUMPS_ROTTEN_DIAMETER,RStump_Diameter,,,,,,,9.6,9.6,9.6,9.6,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,10,10,10,10,10,10,10,10
eWOODY_FUEL_STUMPS_ROTTEN_HEIGHT,RStump_Height,,,,,,,0.4,0.4,0.4,0.4,,0,0,0,,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1
eWOODY_FUEL_STUMPS_ROTTEN_STEM_DENSITY,RStump_Density,,, + = SStump_Density,,,Add S Stump Density,115,115,115,236,,0,0,236,,0,0,236,50,50,50,236,5,5,5,236,3,3,3,236
eWOODY_FUEL_STUMPS_LIGHTERED_PITCHY_DIAMETER,RStump_Diameter,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eWOODY_FUEL_STUMPS_LIGHTERED_PITCHY_HEIGHT,RStump_Height,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eWOODY_FUEL_STUMPS_LIGHTERED_PITCHY_STEM_DENSITY,RStump_Density,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eWOODY_FUEL_PILES_CLEAN_LOADING,CleanPile_Load,* = 0.5,,,0.5,,,0.078119,0.0390595,0.0390595,0.0390595,0,0,0,0,0,0,0,0,0.081811,0.0409055,0.0409055,0.0409055,0.135893,0.0679465,0.0679465,0.0679465,0,0,0,0
eWOODY_FUEL_PILES_DIRTY_LOADING,DirtyPile_Load,* = 0.5,,,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eWOODY_FUEL_PILES_VERYDIRTY_LOADING,VDirtyPile_Load,* = 0.5,,,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eLITTER_LITTER_TYPE_BROADLEAF_DECIDUOUS_RELATIVE_COVER,BroadleafLitter_RelCover,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,90,90,90,90,,0,0,0
eLITTER_LITTER_TYPE_BROADLEAF_EVERGREEN_RELATIVE_COVER,EvergreenLitter_RelCover,,,,,,,,0,0,0,100,100,100,100,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eLITTER_LITTER_TYPE_GRASS_RELATIVE_COVER,GrassLitter_RelCover,,,,,,,,0,0,0,,0,0,0,100,100,100,100,,0,0,0,,0,0,0,,0,0,0
eLITTER_LITTER_TYPE_LONG_NEEDLE_PINE_RELATIVE_COVER,LongNeedleLitter_RelCover,,,,,,,50,50,50,50,,0,0,0,,0,0,0,,0,0,0,10,10,10,10,40,40,40,40
eLITTER_LITTER_TYPE_OTHER_CONIFER_RELATIVE_COVER,OtherConiferLitter_RelCover,,,,,,,50,50,50,50,,0,0,0,,0,0,0,100,100,100,100,,0,0,0,,0,0,0
eLITTER_LITTER_TYPE_PALM_FROND_RELATIVE_COVER,PalmLitter_RelCover,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,60,60,60,60
eLITTER_LITTER_TYPE_SHORT_NEEDLE_PINE_RELATIVE_COVER,ShortNeedleLitter_RelCover,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eMOSS_LICHEN_LITTER_GROUND_LICHEN_DEPTH,Lichen_Depth,* = 0.5,,* = (1/0.5),0.5,,2,,0,0,0,,0,0,0,,0,0,0,2,1,1,2,,0,0,0,,0,0,0
eMOSS_LICHEN_LITTER_GROUND_LICHEN_PERCENT_COVER,Lichen_Cover,* = 0.5,,* = (1/0.5),0.5,,2,,0,0,0,,0,0,0,,0,0,0,5,2.5,2.5,5,,0,0,0,,0,0,0
eMOSS_LICHEN_LITTER_LITTER_DEPTH,Litter_Depth,* = 0.5,* = (1/0.5),,0.5,2,,0.2,0.1,0.2,0.2,1,0.5,1,1,2.5,1.25,2.5,2.5,1,0.5,1,1,1.5,0.75,1.5,1.5,2,1,2,2
eMOSS_LICHEN_LITTER_LITTER_PERCENT_COVER,Litter_Cover,* = 0.5,* = (1/0.5),,0.5,2,,70,35,70,70,60,30,60,60,5,2.5,5,5,15,7.5,15,15,90,45,90,90,70,35,70,70
eMOSS_LICHEN_LITTER_MOSS_DEPTH,Moss_Depth,* = 0.5,,* = (1/0.5),0.5,,2,,0,0,0,,0,0,0,,0,0,0,2.5,1.25,1.25,2.5,1,0.5,0.5,1,,0,0,0
eMOSS_LICHEN_LITTER_MOSS_PERCENT_COVER,Moss_Cover,* = 0.5,,* = (1/0.5),0.5,,2,,0,0,0,,0,0,0,,0,0,0,80,40,40,80,5,2.5,2.5,5,,0,0,0
eGROUND_FUEL_DUFF_LOWER_DEPTH,LowerDuff_Depth,* = 0.5,,,0.5,,,,0,0,0,0.2,0.1,0.1,0.1,,0,0,0,2,1,1,1,,0,0,0,,0,0,0
eGROUND_FUEL_DUFF_LOWER_PERCENT_COVER,LowerDuff_Cover,* = 0.5,,,0.5,,,,0,0,0,60,30,30,30,,0,0,0,90,45,45,45,,0,0,0,,0,0,0
eGROUND_FUEL_DUFF_UPPER_DEPTH,UpperDuff_Depth,* = 0.5,,,0.5,,,0.5,0.25,0.25,0.25,0.4,0.2,0.2,0.2,0.2,0.1,0.1,0.1,4,2,2,2,1,0.5,0.5,0.5,1.5,0.75,0.75,0.75
eGROUND_FUEL_DUFF_UPPER_PERCENT_COVER,UpperDuff_Cover,* = 0.5,,,0.5,,,70,35,35,35,60,30,30,30,70,35,35,35,100,50,50,50,90,45,45,45,70,35,35,35
eGROUND_FUEL_BASAL_ACCUMULATION_DEPTH,BasalAccum_Depth,* = 0.5,,,0.5,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eGROUND_FUEL_BASAL_ACCUMULATION_NUMBER_PER_UNIT_AREA,BasalAccum_Density,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eGROUND_FUEL_BASAL_ACCUMULATION_RADIUS,BasalAccum_Radius,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eGROUND_FUEL_SQUIRREL_MIDDENS_DEPTH,SquirrelMid_Depth,* = 0.5,,,0.5,,,,0,0,0,,0,0,0,,0,0,0,18,9,9,9,,0,0,0,,0,0,0
eGROUND_FUEL_SQUIRREL_MIDDENS_NUMBER_PER_UNIT_AREA,SquirrelMid_Density,,,,,,,,0,0,0,,0,0,0,,0,0,0,1,1,1,1,,0,0,0,,0,0,0
eGROUND_FUEL_SQUIRREL_MIDDENS_RADIUS,SquirrelMid_Radius,,,,,,,,0,0,0,,0,0,0,,0,0,0,5,5,5,5,,0,0,0,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
